danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.775,0.723,0,-4.095,1,0.0468,0.282,0.000371,0.126,0.756,104.991,194286,5
0.668,0.525,8,-9.081,1,0.218,0.623,0.000757,0.152,0.586,150.19,332042,4
0.714,0.715,9,-7.395,1,0.0424,0.0167,0.593,0.349,0.819,142.03,284061,0
0.636,0.741,11,-5.436,0,0.041,0.0132,0.0,0.287,0.53,88.999,225218,0
0.643,0.827,11,-9.572,0,0.185,0.059,0.941,0.37,0.891,83.032,163396,3
0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999,211362,4
0.779,0.728,2,-2.586,1,0.187,0.0191,0.0,0.266,0.824,179.971,202080,3
0.695,0.672,1,-6.109,0,0.0345,0.014,8.44e-05,0.0756,0.245,104.988,235827,0
0.696,0.801,5,-5.641,0,0.0952,0.0469,0.0,0.502,0.536,93.003,211909,1
0.685,0.731,5,-5.119,0,0.093,0.204,0.0,0.0722,0.786,177.912,221027,3
0.64,0.894,11,-5.117,1,0.0982,0.206,4.21e-05,0.141,0.363,123.018,224878,5
0.733,0.678,6,-7.771,1,0.438,0.121,0.0,0.344,0.841,175.985,142000,4
0.656,0.499,10,-11.958,0,0.103,0.323,0.0,0.374,0.408,91.924,180003,1
0.579,0.758,11,-7.08,1,0.0281,0.0731,0.00292,0.708,0.288,109.054,243040,0
0.4,0.726,0,-7.232,1,0.0311,0.0447,0.838,0.549,0.806,92.299,152040,4
0.711,0.849,0,-3.248,1,0.0493,0.104,0.0,0.0626,0.826,105.129,66837,3
0.411,0.928,2,-9.91,1,0.0502,0.0097,0.000506,0.951,0.357,135.163,239160,2
0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,252231,0
0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4
0.56,0.872,3,-4.269,1,0.14,0.0239,7.52e-06,0.371,0.681,126.053,205933,3
0.877,0.659,2,-5.554,1,0.336,0.165,0.0,0.486,0.694,85.912,232013,1
0.441,0.369,2,-9.644,1,0.046,0.968,0.207,0.641,0.115,174.152,206933,4
0.789,0.795,5,-4.72,1,0.0676,0.0246,0.617,0.0938,0.67,128.043,188728,5
0.825,0.69,10,-4.252,0,0.226,0.589,0.0,0.413,0.516,94.194,327467,3
0.439,0.837,9,-11.548,1,0.0336,0.0808,0.0024,0.115,0.511,151.994,212827,0
0.69,0.642,5,-7.103,1,0.0721,0.484,0.112,0.0977,0.363,97.089,190324,4
0.857,0.248,1,-13.129,1,0.0644,0.712,0.901,0.118,0.518,130.757,195125,4
0.732,0.76,1,-5.545,1,0.0748,0.221,0.0,0.0934,0.715,106.067,275093,2
0.711,0.86,8,-3.507,1,0.0414,0.0153,0.0,0.383,0.404,109.946,259067,3
0.924,0.791,0,-5.401,1,0.0681,0.279,0.0,0.0661,0.881,105.107,173453,1
0.585,0.842,9,-5.883,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,237040,2
0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,5
0.54,0.729,0,-3.709,1,0.0276,0.169,0.0,0.112,0.779,80.454,203653,0
0.691,0.85,9,-2.965,1,0.0581,0.0168,0.00459,0.0646,0.348,128.02,337500,5
0.769,0.863,1,-6.438,1,0.0708,0.0045,0.157,0.067,0.153,128.003,224072,3
0.798,0.276,5,-10.828,1,0.0928,0.121,0.00215,0.261,0.311,127.303,355560,4
0.705,0.644,11,-7.049,0,0.0362,0.241,0.0,0.155,0.521,114.991,164870,3
0.523,0.861,0,-3.447,1,0.0644,0.0336,0.0,0.144,0.346,127.049,229149,5
0.204,0.794,2,-7.586,1,0.0618,0.00122,0.0,0.148,0.205,149.346,295427,2
0.652,0.456,11,-12.988,1,0.0354,0.562,9.38e-05,0.12,0.124,132.056,212727,0
0.678,0.874,1,-4.775,1,0.0667,0.001,0.222,0.339,0.354,125.021,145884,5
