danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.673,0.843,1,-5.631,1,0.33,0.033,0.0,0.11,0.677,84.088,182811,4
0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,288600,1
0.465,0.735,6,-3.715,1,0.117,0.0711,0.0,0.0975,0.409,173.935,196040,4
0.843,0.815,0,-5.576,0,0.225,0.0256,0.0,0.108,0.751,104.971,158250,3
0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,255002,2
0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787,0
0.394,0.764,5,-6.25,1,0.0358,0.083,6.87e-06,0.218,0.124,76.248,239667,2
0.773,0.628,0,-9.059,1,0.0358,0.309,0.794,0.0795,0.0471,120.005,231098,3
0.627,0.64,10,-10.141,0,0.301,0.000894,0.0,0.0942,0.882,97.226,217733,1
0.894,0.698,6,-8.264,0,0.275,0.0279,3.52e-06,0.329,0.695,98.104,336917,1
0.588,0.65,0,-4.593,1,0.0257,0.00166,1.09e-06,0.199,0.183,117.999,201760,2
0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,243773,0
0.665,0.389,1,-6.709,1,0.441,0.745,0.000982,0.326,0.521,89.962,210001,0
0.589,0.83,1,-4.961,1,0.0352,0.258,0.00292,0.114,0.239,106.995,192511,4
0.645,0.86,6,-6.419,0,0.0866,0.0029,0.786,0.0696,0.622,140.012,294857,5
0.73,0.785,2,-7.201,1,0.0456,0.0418,0.00669,0.123,0.724,137.639,231080,2
0.698,0.658,5,-6.428,1,0.105,0.052,4.69e-06,0.144,0.62,169.979,218658,1
0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,166452,5
0.661,0.815,1,-5.407,0,0.0497,0.106,4.39e-05,0.0863,0.702,141.997,224453,4
0.711,0.862,10,-12.749,0,0.0789,0.00801,0.202,0.276,0.847,128.125,142315,3
0.876,0.657,10,-11.17,0,0.169,0.0171,0.00188,0.217,0.595,88.966,220040,1
0.695,0.616,0,-12.1,1,0.0817,0.00142,0.113,0.114,0.685,127.743,149864,3
0.359,0.311,8,-14.147,1,0.0459,0.865,5e-06,0.104,0.483,82.231,223840,4
0.434,0.725,11,-7.075,0,0.098,0.0103,1.06e-06,0.329,0.253,174.091,227773,1
0.878,0.555,1,-7.639,0,0.202,0.138,1.34e-06,0.151,0.751,88.029,190909,3
0.772,0.664,1,-7.664,0,0.321,0.639,2.7e-06,0.11,0.389,96.204,272747,1
0.589,0.584,11,-6.736,0,0.0264,0.00207,0.0,0.318,0.405,100.029,130200,3
0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,1
0.47,0.834,0,-9.156,0,0.0368,6.54e-05,0.00095,0.372,0.184,162.91,324018,0
0.776,0.442,6,-6.269,1,0.0514,0.0702,0.00496,0.0754,0.588,95.971,195625,4
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,0
0.679,0.508,6,-7.293,0,0.288,0.0772,0.00122,0.101,0.639,201.888,218620,4
0.792,0.834,7,-10.188,1,0.0504,0.000791,0.915,0.103,0.0284,130.005,406150,5
0.574,0.453,8,-9.32,1,0.106,0.714,0.000195,0.111,0.503,84.027,217143,4
0.466,0.839,1,-3.759,1,0.314,0.0312,0.0,0.0648,0.387,202.493,230235,4
0.682,0.954,9,-4.951,1,0.0625,0.00712,4.04e-05,0.052,0.928,115.473,220160,2
0.695,0.764,4,-6.084,1,0.0264,0.187,2.71e-05,0.172,0.836,129.945,252693,3
0.575,0.473,2,-8.957,0,0.0242,0.0534,0.0,0.144,0.569,164.018,262000,2
